airline,flight_number,origin,destination,travel_date,advance_window,aircraft_type,frequency,effective_from,effective_to,source_file,search_status
Alliance Air,9I 788,AJL,GAU,2026-10-07,T+30,ATR 72,1,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Alliance Air,9I 788,AJL,GAU,2026-10-22,T+45,ATR 72,1,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Alliance Air,9I 788,IMF,AJL,2026-09-08,T+1,ATR 72,36,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Alliance Air,9I 788,IMF,AJL,2026-09-14,T+7,ATR 72,36,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Alliance Air,9I 788,IMF,AJL,2026-09-22,T+15,ATR 72,36,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Alliance Air,9I 788,IMF,AJL,2026-10-07,T+30,ATR 72,36,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Alliance Air,9I 788,IMF,AJL,2026-10-22,T+45,ATR 72,36,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Ghodawat Enterprises,S5 618,AMD,PXN,2026-09-08,T+1,EMB,7,29/03/2026,29/03/2026,Ghodawat EnterprisesPvtLtd_SS_2026.pdf,queued
Ghodawat Enterprises,S5 618,AMD,PXN,2026-09-14,T+7,EMB,7,29/03/2026,29/03/2026,Ghodawat EnterprisesPvtLtd_SS_2026.pdf,queued
Ghodawat Enterprises,S5 618,AMD,PXN,2026-09-22,T+15,EMB,7,29/03/2026,29/03/2026,Ghodawat EnterprisesPvtLtd_SS_2026.pdf,queued
Ghodawat Enterprises,S5 618,AMD,PXN,2026-10-07,T+30,EMB,7,29/03/2026,29/03/2026,Ghodawat EnterprisesPvtLtd_SS_2026.pdf,queued
Ghodawat Enterprises,S5 618,AMD,PXN,2026-10-22,T+45,EMB,7,29/03/2026,29/03/2026,Ghodawat EnterprisesPvtLtd_SS_2026.pdf,queued
Ghodawat Enterprises,S5 614,AMD,JGA,2026-09-08,T+1,EMB,23457,29/03/2026,23/10/2026,Ghodawat EnterprisesPvtLtd_SS_2026.pdf,queued
Ghodawat Enterprises,S5 614,AMD,JGA,2026-09-14,T+7,EMB,23457,29/03/2026,23/10/2026,Ghodawat EnterprisesPvtLtd_SS_2026.pdf,queued
Ghodawat Enterprises,S5 614,AMD,JGA,2026-09-22,T+15,EMB,23457,29/03/2026,23/10/2026,Ghodawat EnterprisesPvtLtd_SS_2026.pdf,queued
Ghodawat Enterprises,S5 614,AMD,JGA,2026-10-07,T+30,EMB,23457,29/03/2026,23/10/2026,Ghodawat EnterprisesPvtLtd_SS_2026.pdf,queued
Ghodawat Enterprises,S5 614,AMD,JGA,2026-10-22,T+45,EMB,23457,29/03/2026,23/10/2026,Ghodawat EnterprisesPvtLtd_SS_2026.pdf,queued
Ghodawat Enterprises,S5 218,NDC,AMD,2026-09-08,T+1,EMB,3,01/04/2026,21/10/2026,Ghodawat EnterprisesPvtLtd_SS_2026.pdf,queued
Ghodawat Enterprises,S5 218,NDC,AMD,2026-09-14,T+7,EMB,3,01/04/2026,21/10/2026,Ghodawat EnterprisesPvtLtd_SS_2026.pdf,queued
Ghodawat Enterprises,S5 218,NDC,AMD,2026-09-22,T+15,EMB,3,01/04/2026,21/10/2026,Ghodawat EnterprisesPvtLtd_SS_2026.pdf,queued
Ghodawat Enterprises,S5 218,NDC,AMD,2026-10-07,T+30,EMB,3,01/04/2026,21/10/2026,Ghodawat EnterprisesPvtLtd_SS_2026.pdf,queued
Ghodawat Enterprises,S5 218,NDC,AMD,2026-10-22,T+45,EMB,3,01/04/2026,21/10/2026,Ghodawat EnterprisesPvtLtd_SS_2026.pdf,queued
Ghodawat Enterprises,S5 425,DIU,AMD,2026-09-08,T+1,EMB,24,31/03/2026,22/10/2026,Ghodawat EnterprisesPvtLtd_SS_2026.pdf,queued
Ghodawat Enterprises,S5 425,DIU,AMD,2026-09-14,T+7,EMB,24,31/03/2026,22/10/2026,Ghodawat EnterprisesPvtLtd_SS_2026.pdf,queued
Ghodawat Enterprises,S5 425,DIU,AMD,2026-09-22,T+15,EMB,24,31/03/2026,22/10/2026,Ghodawat EnterprisesPvtLtd_SS_2026.pdf,queued
