airline,flight_number,operator_code,aircraft_type,frequency,origin,destination,effective_from,effective_to,direction,source_file
Alliance Air,9I 610,LLR,ATR 72,1357,JLG,AMD,29/03/2026,24/10/2026,arrival,AllianceAir_SS_2026.pdf
Alliance Air,9I 862,LLR,ATR 42,24,AMD,HSS,29/03/2026,24/10/2026,departure,AllianceAir_SS_2026.pdf
Alliance Air,9I 609,LLR,ATR 72,1357,AMD,JLG,29/03/2026,24/10/2026,departure,AllianceAir_SS_2026.pdf
Alliance Air,9I 610,LLR,ATR 72,46,JLG,AMD,29/03/2026,24/10/2026,arrival,AllianceAir_SS_2026.pdf
Alliance Air,9I 612,LLR,ATR 72,46,AMD,BOM,29/03/2026,24/10/2026,departure,AllianceAir_SS_2026.pdf
Alliance Air,9I 786,LLR,ATR 72,125,SHL,AJL,29/03/2026,24/10/2026,arrival,AllianceAir_SS_2026.pdf
Alliance Air,9I 787,LLR,ATR 72,7,GAU,AJL,29/03/2026,24/10/2026,arrival,AllianceAir_SS_2026.pdf
Alliance Air,9I 785,LLR,ATR 72,125,AJL,SHL,29/03/2026,24/10/2026,departure,AllianceAir_SS_2026.pdf
Alliance Air,9I 785,LLR,ATR 72,7,AJL,SHL,29/03/2026,24/10/2026,departure,AllianceAir_SS_2026.pdf
Alliance Air,9I 787,LLR,ATR 72,36,GAU,AJL,29/03/2026,24/10/2026,arrival,AllianceAir_SS_2026.pdf
Alliance Air,9I 787,LLR,ATR 72,36,AJL,IMF,29/03/2026,24/10/2026,departure,AllianceAir_SS_2026.pdf
Alliance Air,9I 787,LLR,ATR 72,1,GAU,AJL,29/03/2026,24/10/2026,arrival,AllianceAir_SS_2026.pdf
Alliance Air,9I 788,LLR,ATR 72,1,AJL,GAU,29/03/2026,24/10/2026,departure,AllianceAir_SS_2026.pdf
Alliance Air,9I 786,LLR,ATR 72,7,SHL,AJL,29/03/2026,24/10/2026,arrival,AllianceAir_SS_2026.pdf
Alliance Air,9I 788,LLR,ATR 72,7,AJL,GAU,29/03/2026,24/10/2026,departure,AllianceAir_SS_2026.pdf
Alliance Air,9I 788,LLR,ATR 72,36,IMF,AJL,29/03/2026,24/10/2026,arrival,AllianceAir_SS_2026.pdf
Alliance Air,9I 788,LLR,ATR 72,36,AJL,GAU,29/03/2026,24/10/2026,departure,AllianceAir_SS_2026.pdf
Ghodawat Enterprises,S5 618,SDG,EMB,7,AMD,PXN,29/03/2026,29/03/2026,departure,Ghodawat EnterprisesPvtLtd_SS_2026.pdf
Ghodawat Enterprises,S5 618,SDG,EMB,1234567,AMD,PXN,29/03/2026,23/10/2026,departure,Ghodawat EnterprisesPvtLtd_SS_2026.pdf
Ghodawat Enterprises,S5 614,SDG,EMB,23457,AMD,JGA,29/03/2026,23/10/2026,departure,Ghodawat EnterprisesPvtLtd_SS_2026.pdf
Ghodawat Enterprises,S5 218,SDG,EMB,3,NDC,AMD,01/04/2026,21/10/2026,arrival,Ghodawat EnterprisesPvtLtd_SS_2026.pdf
Ghodawat Enterprises,S5 425,SDG,EMB,24,DIU,AMD,31/03/2026,22/10/2026,arrival,Ghodawat EnterprisesPvtLtd_SS_2026.pdf
Ghodawat Enterprises,S5 218,SDG,EMB,1246,NDC,AMD,30/03/2026,24/10/2026,arrival,Ghodawat EnterprisesPvtLtd_SS_2026.pdf
Ghodawat Enterprises,S5 424,SDG,EMB,24,AMD,DIU,31/03/2026,22/10/2026,departure,Ghodawat EnterprisesPvtLtd_SS_2026.pdf
Ghodawat Enterprises,S5 219,SDG,EMB,146,AMD,NDC,30/03/2026,24/10/2026,departure,Ghodawat EnterprisesPvtLtd_SS_2026.pdf
Ghodawat Enterprises,S5 615,SDG,EMB,1234567,JGA,AMD,29/03/2026,24/10/2026,arrival,Ghodawat EnterprisesPvtLtd_SS_2026.pdf
Ghodawat Enterprises,S5 619,SDG,EMB,1234567,PXN,AMD,29/03/2026,23/10/2026,arrival,Ghodawat EnterprisesPvtLtd_SS_2026.pdf
Ghodawat Enterprises,S5 619,SDG,EMB,6,PXN,AMD,24/10/2026,24/10/2026,arrival,Ghodawat EnterprisesPvtLtd_SS_2026.pdf
Ghodawat Enterprises,S5 159,SDG,EMB,7,BLR,IXX,29/03/2026,29/03/2026,departure,Ghodawat EnterprisesPvtLtd_SS_2026.pdf
Ghodawat Enterprises,S5 159,SDG,EMB,4567,BLR,IXX,08/04/2026,23/10/2026,departure,Ghodawat EnterprisesPvtLtd_SS_2026.pdf
Ghodawat Enterprises,S5 159,SDG,EMB,4567,BLR,IXX,01/04/2026,04/04/2026,departure,Ghodawat EnterprisesPvtLtd_SS_2026.pdf
Ghodawat Enterprises,S5 159,SDG,EMB,3,BLR,IXX,31/03/2026,20/10/2026,departure,Ghodawat EnterprisesPvtLtd_SS_2026.pdf
Ghodawat Enterprises,S5 159,SDG,EMB,12,BLR,IXX,29/03/2026,19/10/2026,departure,Ghodawat EnterprisesPvtLtd_SS_2026.pdf
Ghodawat Enterprises,S5 181,SDG,EMB,16,BLR,GOX,29/03/2026,23/10/2026,departure,Ghodawat EnterprisesPvtLtd_SS_2026.pdf
Ghodawat Enterprises,S5 181,SDG,EMB,4,BLR,GOX,08/04/2026,21/10/2026,departure,Ghodawat EnterprisesPvtLtd_SS_2026.pdf
Ghodawat Enterprises,S5 181,SDG,EMB,23,BLR,GOX,30/03/2026,20/10/2026,departure,Ghodawat EnterprisesPvtLtd_SS_2026.pdf
Ghodawat Enterprises,S5 183,SDG,EMB,3,BLR,NDC,31/03/2026,20/10/2026,departure,Ghodawat EnterprisesPvtLtd_SS_2026.pdf
Ghodawat Enterprises,S5 183,SDG,EMB,12456,BLR,NDC,29/03/2026,23/10/2026,departure,Ghodawat EnterprisesPvtLtd_SS_2026.pdf
Ghodawat Enterprises,S5 160,SDG,EMB,1234567,IXX,BLR,29/03/2026,24/10/2026,arrival,Ghodawat EnterprisesPvtLtd_SS_2026.pdf
Ghodawat Enterprises,S5 183,SDG,EMB,7,BLR,NDC,29/03/2026,29/03/2026,departure,Ghodawat EnterprisesPvtLtd_SS_2026.pdf
Ghodawat Enterprises,S5 183,SDG,EMB,7,BLR,NDC,04/04/2026,17/10/2026,departure,Ghodawat EnterprisesPvtLtd_SS_2026.pdf
Ghodawat Enterprises,S5 701,SDG,EMB,1234567,BLR,VDY,29/03/2026,24/10/2026,departure,Ghodawat EnterprisesPvtLtd_SS_2026.pdf
Ghodawat Enterprises,S5 702,SDG,EMB,2,VDY,BLR,31/03/2026,20/10/2026,arrival,Ghodawat EnterprisesPvtLtd_SS_2026.pdf
Ghodawat Enterprises,S5 702,SDG,EMB,134567,VDY,BLR,29/03/2026,24/10/2026,arrival,Ghodawat EnterprisesPvtLtd_SS_2026.pdf
Ghodawat Enterprises,S5 151,SDG,EMB,134567,BLR,HYD,29/03/2026,24/10/2026,departure,Ghodawat EnterprisesPvtLtd_SS_2026.pdf
Ghodawat Enterprises,S5 182,SDG,EMB,6,GOX,BLR,24/10/2026,24/10/2026,arrival,Ghodawat EnterprisesPvtLtd_SS_2026.pdf
Ghodawat Enterprises,S5 182,SDG,EMB,46,GOX,BLR,09/04/2026,22/10/2026,arrival,Ghodawat EnterprisesPvtLtd_SS_2026.pdf
Ghodawat Enterprises,S5 182,SDG,EMB,3,GOX,BLR,08/04/2026,21/10/2026,arrival,Ghodawat EnterprisesPvtLtd_SS_2026.pdf
Ghodawat Enterprises,S5 182,SDG,EMB,12,GOX,BLR,30/03/2026,20/10/2026,arrival,Ghodawat EnterprisesPvtLtd_SS_2026.pdf
Ghodawat Enterprises,S5 184,SDG,EMB,6,NDC,BLR,04/04/2026,17/10/2026,arrival,Ghodawat EnterprisesPvtLtd_SS_2026.pdf
Ghodawat Enterprises,S5 184,SDG,EMB,6,NDC,BLR,24/10/2026,24/10/2026,arrival,Ghodawat EnterprisesPvtLtd_SS_2026.pdf
